essay_id	sent_id	sent_text	sent_label	essay_topic_id
0	0	Wie der Autor feststellt, könnte die Nutzung des Internets im Unterricht der Weg in die Zukunft sein, aber sind wir im Moment wirklich bereit für einen solchen Weg?	intro_topic	1
0	1	Haben die Lehrer genug Wissen über dieses Werkzeug und seine Macht?	intro_topic	1
0	2	Und kann man den Schülern ein derart mächtiges Werkzeug anvertrauen, ohne dass sie abgelenkt werden?	intro_topic	1
0	3	Der Autor gibt an, dass das Internet in Fächern wie Geschichte und Philosophie hilfreich sein können.	article_pro	1
0	4	Doch kann es auch in naturwissenschaftlichen Fächern wie Mathematik, Chemie und Physik verwendet werden?	own	1
0	5	Und Welche Vorteile hätte man dadurch?	own	1
0	6	Wenn viele Schüler in einer Klasse sind, kann man dann wirklich auf das, was jeder einzelne sagt, eingehen?	own	1
0	7	<PB> Im Großen und Ganzen würde ich sagen, dass ich die Nutzung des Internets im Unterricht weder gut noch schlecht finde.	own	1
0	8	Ich glaube, dass wir uns in einer Übergangsphase befinden.	own	1
0	9	Um das Internet nützlich in den Unterricht zu integrieren, brauchen wir noch etwas Zeit, Zeit, um die Lehrer darauf vorzubereiten, ein solches Tool zu benutzen.	own	1
0	10	Ebenfalls braucht es Zeit, um die Generation der Schüler soweit vorzubereiten, dass man ihr die verantwortungsvolle Nutzung des Internets im Unterricht zutrauen kann.	own	1
0	11	Außerdem müssen Methoden entwickelt werden, um diese Art von Unterricht auch für naturwissenschaftliche Fächer sinnvoll und nützlich zu gestalten.	own	1
0	12	Des Weiteren muss es Möglichkeiten geben, auch in großen Klassen jeden einzelnen Schüler in Debatten einzubeziehen.	own	1
0	13	<PB> Schlussendlich kann ich jedeoch auch sagen, dass wir uns langfristig nicht davor drücken können, ein so mächtiges Tool wie das Internet in unsere Schulen zu integrieren.	own	1
0	14	Nur müssen wir Zeit für den Übergang aufbringen, um die Nutzung des Internets im Unterricht zu regulieren.	own	1
0	15	Sie muss so gestaltet werden, dass sie Lehrern und Schülern hilft und zu besseren Lernergebnissen führt, anders als der negative Trend, den wir ansonsten in unseren heutigen Schulen und Universitäten sehen.	own	1
1	0	Der Artikel “Twitter-Unterricht”, geschrieben von Tomasz Kurianowicz und am 22.06.2011 erstmals in der Zeit erschienen ist, beschäftigt sich mit der Frage ob soziale Medien im Unterrichtsalltag integriert werden sollen.	info_article_topic	1
1	1	Dabei werden einige positive Erfahrungen von Lehrern als auch bedenken gegenüber der Einführung vorgestellt.	intro_topic	1
1	2	Früher waren Handys strikt verboten und wurden oftmals auch eingesammelt.	intro_topic	1
1	3	Allerdings zeigt sich langsam ein Umdenken im Umgang mit Technologie im Klassenzimmer.	intro_topic	1
1	4	So setzt Daniel Eisenmenger soziale Medien, wie zum Beispiel Twitter, Google etc., aktiv im Unterricht ein.	article_pro	1
1	5	Speziell Twitter wird im Artikel hervorgehoben, welches durch sein Zeichenlimit von 140 Zeichen, besonders unter den Sozialen Medien ist.	article_pro	1
1	6	Mithilfe von Sozialen Medien sollen primär stillere Schüler abgeholt werden, um aktiv am Unterricht teilzunehmen.	article_pro	1
1	7	Dies wird mit einer geringeren Hemmschwelle erreicht, die das online-posten mit sich bringt.	article_pro	1
1	8	Nicholas Provenzano, Englisch-Lehrer an einer High-School in der Nähe von Detroit, berichtete dass er damit acht Schüler, die sonst eher still sind, nun zum Mitwirken am Unterricht gebracht hat.	article_pro	1
1	9	Dieser Trend ist aber noch lange nicht in allen Klassenzimmern angekommen.	article_con	1
1	10	So veröffentlichte eine Studie der Babson Survey Research Group, dass nur zwei Prozent der Lehrer Twitter in den Unterrichtsablauf einbinden.	article_con	1
1	11	Viele sind jedoch skeptisch das Internet unbewacht zu verwenden, da die Gefahr einer Ablenkung zu groß sei.	article_con	1
1	12	Ich stimme der Aussage, dass die Einbindung von Moderner Technologie stattfinden muss.	own	1
1	13	Es ist nur eine Frage der Zeit bis man dahinterkommt, dass die Vorteile des Internets die Gefahren einer Ablenkung bei weitem übersteigen.	own	1
1	14	Wie und in welcher Form das Stattfinden wird, ist jedoch meiner Meinung nach noch nicht geklärt.	own	1
2	0	"Der Zeitungsartikel ""Twitter-Unterricht"" von Tomasz Kurianowicz erschien am 22."	info_article	1
2	1	"Juni 2011 in der ""Zeit"" online."	info_article	1
2	2	Der Autor behandelt die Nutzung der Sozialen Medien während der Unterrichtstunden.	intro_topic	1
2	3	Er denkt, dass es eine gute Idee ist.	intro_topic	1
2	4	<PB> Der Autor weist, dass viele Lehrer Soziale Medien nutzen (zum Beispiel GoogleMaps, YouTube und Twitter).	article_pro	1
2	5	Wenn der Lehrer über das Gedicht referiert, können die Schüler kommentieren und über das Thema diskutieren.	article_pro	1
2	6	Der Autor denkt, dass es ist ein wichtig Trend und sollen die Lehrer mit Soziale Medien arbeiten.	article_pro	1
2	7	Aber heutzutage nicht viele Lehrer mit sie arbeiten,	article_con	1
2	8	in kommenden Jahren es wird sich in Zukunft ändern.	article_pro	1
2	9	Die neue Generation von Lehrern versteht ihre Macht.	article_pro	1
2	10	<PB> Aus der Sicht dem Autor können die Schüler einfacher lernen.	article_pro	1
2	11	Die textbasiertes Gespräch ist mehr produktiv.	article_pro	1
2	12	Die Schüler die normalerweise schweigen würden, an der Diskussion beteiligen.	article_pro	1
2	13	Es macht mehr Spass auch.	article_pro	1
2	14	<PB> Vor allem die Angst vor Zerstreuung ist immer noch.	article_con	1
2	15	Aber es gibt nichts zu befürchten.	article_pro	1
2	16	Twitter macht die Kommunikation unkompliziert, was in den kommenden Jahren ideal werden.	own	1
2	17	<PB> Im Großen und Ganzen kann ich die Argumentation dem Autor gut nachvollziehen.	own	1
2	18	Ich denke, dass die Sociazle Medien Zukunft sind.	own	1
2	19	Sie machen die Kommunikation einfacher und unkompliziert.	own	1
2	20	Sie machen die Unterricht mehr interresant und interaktiv, was macht lernen einfacher.	own	1
2	21	Sie ermöglichen es auch vielen schüchternen Schülern, sich an der Diskussion zu beteiligen.	article_pro	1
2	22	Es gibt viele Hindernisse in dass Prozes, aber die geeignet Lehrer könnten es helfen.	own	1
3	0	"""Twitter-Unterricht"" von Tomasz Kurianowicz erschien in der online-Ausgeibe der Zeitschrift Zeit am 22."	info_article	1
3	1	Juni 2011 und.	info_article	1
3	2	Der Artikel behandelt das Thema der Nutzung von digitalen Medien wie Twitter und Co. im Unterricht, was auch Erziehungswissenschaftler vordern.	intro_topic	1
3	3	<PB> Der Autor weist darauf hin, dass  Soziale Medien im Unterricht durchaus ein Trend sind, was daraus folgt, dass immer mehr jüngere Menschen als Lehrer anfangen zu arbeiten und für sie ist das Internet ein Teil ihres Lebens.	article_pro	1
3	4	Medien im Unterricht wird mit der Erfindung des Buchdrucks gleichgestellt: auch letzteres wurde mit Laufe der Zeit akzeptiert.	article_pro	1
3	5	<PB> Aus der Sicht des Autors können so auch zurückhaltende Schüler animiert werden, sie können im Schatten eine Alias am Unterricht teilnehmen, ohne sich schämen zu müssen, falls sie etwas falsches sagen.	article_pro	1
3	6	Studien zufolge profitieren Schüler von der Nutzung digitaler Medien, denn dies ist eine Sprache, was sie durchaus verstehen, somit bleibt der gelernte Stoff länger im Gedächtnis.	article_pro	1
3	7	<PB> Der Artikel nennt durchaus gute Gründe für ein Sichtwecksel im Sachen Unterricht und Pädagogik.	own	1
3	8	Meines Erachtens müsste man darauf aufpassen, dass Lehrer dies nicht überziehen.	own	1
3	9	Ihre Aufgabe ist es Wissen zu vermitteln und nicht Schüler zu animieren, wie ein Schauspieler.	own	1
3	10	Für alles geht, man sollte einen Mittelweg finden.	own	1
3	11	Ein gezieltes Einsetzen von YouTube-Videos, interaktieve Landkarten oder Modelle sind sehr wichtig, denn wenn man etwas sieht, kann man den Mechanismus besser verstehen und sich aneignen.	own	1
